Site identifier,Site,Longitude,Latitude,Lab sample identifier,Material,AMS date on cereal?,14C age BP,1-sigma uncertainty,Age range (BC/AD),Age range lower (BP),Age range upper (BP),Reference,Crops Present,Wheat,Barley,Foxtail millet,Broomcorn millet,Millet (unidentified),Rice,Rice (wild),Echnicloa,Paspalum,Sorghum,Oat,Rye,Buckwheat,Bracharia,Eleusine coracana,Pennesitum
540,Xinzhai,113.42,34.51,SA00019-1,Bone,FALSE,3500,35,,,,C.Zhao 2019,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00028,Bone,FALSE,3500,35,,,,C.Zhao 2020,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00019,Bone,FALSE,3530,35,,,,C.Zhao 2018,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00006,Bone,FALSE,3535,35,,,,C.Zhao 2013,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00008,Bone,FALSE,3570,35,,,,C.Zhao 2009,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA000014,Bone,FALSE,3675,35,,,,C.Zhao 2006,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,VERA-1429a,Bone,FALSE,3695,35,,,,C.Zhao 2008,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00021,Bone,FALSE,3425,30,,,,C.Zhao 2032,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00017-1,Bone,FALSE,3455,30,,,,C.Zhao 2024,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00001,Bone,FALSE,3485,30,,,,C.Zhao 2011,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
